gestion_id,fecha,mes,gestor_id,region,tipo_cliente,producto,edad,ingreso,deuda,dias_mora,estado_cuenta,score_riesgo,franja_horaria,canal,intentos_previos,contactado,resultado_contacto,pago_realizado,monto_pagado,promesa_cumplida,motivo_no_pago,tiempo_gestion_min
31,2024-05-12,5,G002,Maule,jubilado,credito_consumo,66,902192,6176037,49,castigado,394,noche,whatsapp,3,0,no_contesta,0,0,0,otro,7
32,2024-05-27,5,G019,Coquimbo,dependiente,tarjeta_credito,35,1875307,609445,74,juridico,596,noche,whatsapp,2,1,contactado_acepta,0,0,0,,11
33,2024-05-03,5,G024,OHiggins,dependiente,linea_credito,57,2530076,1199990,5,prejuridico,394,tarde,visita_terreno,7,1,promesa_pago,1,191596,1,,22
34,2024-04-20,4,G003,RM,dependiente,credito_consumo,30,2303101,7825372,345,prejuridico,521,noche,telefono,1,0,buzon_voz,0,0,0,negociacion,1
35,2024-03-10,3,G025,RM,dependiente,tarjeta_credito,60,1323456,5451376,42,vigente,333,noche,telefono,12,0,buzon_voz,0,0,0,,8
36,2024-09-02,9,G022,Los_Lagos,jubilado,tarjeta_credito,58,545552,5879755,133,castigado,481,manana,visita_terreno,5,0,no_contesta,0,0,0,no_reconoce,5
37,2024-10-07,10,G008,OHiggins,dependiente,credito_consumo,57,1121038,5971820,353,vigente,561,manana,carta_notarial,5,1,convenio_acordado,1,1488923,0,,12
38,2024-06-18,6,G002,Tarapaca,microempresario,automotriz,51,2928898,24133892,171,castigado,708,noche,carta_notarial,9,1,convenio_acordado,1,4970224,0,,28
39,2024-07-13,7,G008,Araucania,microempresario,hipotecario,56,3252689,36928606,238,juridico,717,tarde,whatsapp,12,1,contactado_acepta,0,0,0,sin_trabajo,33
40,2024-09-04,9,G021,Biobio,independiente,automotriz,68,1398148,14382864,650,vigente,626,tarde,carta_notarial,7,0,no_contesta,0,0,0,otro,3
41,2024-04-10,4,G016,OHiggins,microempresario,automotriz,51,2137533,20404106,69,vigente,765,tarde,telefono,1,1,contactado_rechaza,0,0,0,no_reconoce,6
42,2024-04-19,4,G008,RM,independiente,linea_credito,72,810585,1902075,91,vigente,320,manana,whatsapp,5,0,buzon_voz,0,0,0,deuda_mayor,4
43,2024-06-23,6,G004,Araucania,dependiente,hipotecario,33,2334748,71923680,12,prejuridico,342,manana,visita_terreno,3,0,no_contesta,0,0,0,,6
44,2024-03-30,3,G009,RM,independiente,automotriz,67,3137424,14216598,50,vigente,392,tarde,telefono,9,0,buzon_voz,0,0,0,otro,1
45,2024-04-23,4,G018,Valparaiso,jubilado,linea_credito,44,563132,1522249,22,prejuridico,389,manana,email,2,0,buzon_voz,0,0,0,negociacion,6
46,2024-12-02,12,G011,Biobio,independiente,tarjeta_credito,25,3813763,4721517,282,vigente,686,manana,email,4,1,promesa_pago,0,0,0,otro,4
47,2024-01-01,1,G008,Coquimbo,dependiente,hipotecario,31,538166,55451346,98,vigente,544,noche,email,6,0,no_contesta,0,0,0,,3
48,2024-02-21,2,G014,Coquimbo,independiente,automotriz,42,2353635,15074140,235,juridico,757,tarde,email,4,1,promesa_pago,0,0,0,negociacion,16
49,2024-07-10,7,G003,RM,dependiente,tarjeta_credito,33,531321,2362132,28,vigente,376,manana,whatsapp,2,0,numero_equivocado,0,0,0,,6
50,2024-11-29,11,G006,Coquimbo,independiente,linea_credito,50,1916515,296741,42,prejuridico,618,manana,email,12,0,buzon_voz,0,0,0,sin_trabajo,6
51,2024-05-03,5,G025,Maule,independiente,credito_consumo,61,2259481,2344228,28,vigente,506,tarde,telefono,3,0,buzon_voz,0,0,0,no_reconoce,2
52,2024-09-19,9,G009,Los_Lagos,independiente,linea_credito,55,3520713,175696,70,vigente,751,tarde,carta_notarial,9,1,convenio_acordado,0,0,0,,18
53,2024-07-03,7,G001,OHiggins,dependiente,credito_consumo,30,686658,1517658,158,vigente,694,noche,email,5,0,buzon_voz,0,0,0,deuda_mayor,5
54,2024-08-31,8,G022,Antofagasta,independiente,automotriz,31,2943065,14710369,85,vigente,584,manana,whatsapp,5,0,buzon_voz,0,0,0,enfermedad,3
55,2024-10-01,10,G012,Tarapaca,jubilado,automotriz,63,449623,8805724,90,prejuridico,687,tarde,telefono,1,1,promesa_pago,1,6913234,1,,14
56,2024-05-05,5,G013,RM,jubilado,credito_consumo,34,343658,6740670,207,prejuridico,832,tarde,carta_notarial,10,0,no_contesta,0,0,0,enfermedad,6
57,2024-03-31,3,G008,Coquimbo,jubilado,credito_consumo,42,287801,5475738,81,prejuridico,788,noche,whatsapp,10,1,convenio_acordado,1,1805955,0,,6
58,2024-07-23,7,G010,OHiggins,independiente,credito_consumo,59,663589,3280662,6,juridico,385,noche,visita_terreno,2,0,no_contesta,0,0,0,sin_trabajo,2
59,2024-06-28,6,G024,Araucania,independiente,automotriz,54,1526220,9684412,331,vigente,759,noche,email,3,1,promesa_pago,1,4226255,1,,27
60,2024-05-07,5,G002,Los_Lagos,dependiente,credito_consumo,61,2559375,1873435,64,juridico,523,tarde,carta_notarial,11,1,promesa_pago,1,503563,1,,7
61,2024-05-06,5,G002,Biobio,microempresario,tarjeta_credito,32,1778378,2706604,13,castigado,722,noche,visita_terreno,4,1,contactado_rechaza,1,927308,0,,10
62,2024-05-27,5,G002,Coquimbo,microempresario,hipotecario,40,4457362,60444409,30,castigado,625,noche,carta_notarial,9,1,convenio_acordado,1,31754850,0,,13
63,2024-09-13,9,G007,Biobio,microempresario,tarjeta_credito,43,906039,5713860,152,castigado,389,tarde,telefono,10,1,promesa_pago,0,0,0,sin_trabajo,33
64,2024-02-19,2,G021,OHiggins,dependiente,credito_consumo,50,1010033,6382490,17,vigente,321,noche,whatsapp,3,1,contactado_acepta,1,5577086,0,,22
65,2024-04-27,4,G014,Maule,microempresario,hipotecario,62,1042079,38436792,21,vigente,308,noche,whatsapp,9,0,numero_equivocado,0,0,0,,6
66,2024-06-03,6,G009,RM,dependiente,linea_credito,44,1088331,692400,37,vigente,379,tarde,email,3,1,promesa_pago,0,0,0,negociacion,9
67,2024-09-05,9,G014,Tarapaca,dependiente,tarjeta_credito,51,1334928,6310310,83,juridico,518,noche,email,2,0,buzon_voz,0,0,0,otro,5
68,2024-01-01,1,G021,Biobio,dependiente,tarjeta_credito,60,460133,5164064,35,prejuridico,692,manana,carta_notarial,12,1,promesa_pago,1,4180271,1,,10
69,2024-06-15,6,G011,Maule,dependiente,hipotecario,43,2052523,40226377,10,vigente,499,tarde,carta_notarial,10,0,no_contesta,0,0,0,otro,1
70,2024-12-05,12,G022,RM,dependiente,hipotecario,49,2276959,57803827,119,vigente,409,noche,email,4,1,contactado_acepta,0,0,0,enfermedad,6
71,2024-09-06,9,G005,Coquimbo,microempresario,linea_credito,33,2476495,2469557,83,vigente,712,noche,visita_terreno,5,0,buzon_voz,0,0,0,negociacion,4
72,2024-03-03,3,G012,Valparaiso,independiente,linea_credito,45,1204775,2445521,86,vigente,566,tarde,email,4,1,contactado_rechaza,1,1531513,0,,31
73,2024-12-25,12,G022,RM,microempresario,credito_consumo,33,3878137,3952652,120,vigente,522,noche,carta_notarial,10,1,promesa_pago,0,0,0,deuda_mayor,19
74,2024-07-06,7,G005,Antofagasta,jubilado,credito_consumo,59,592547,898600,4,juridico,845,noche,telefono,9,1,convenio_acordado,1,239904,0,,4
75,2024-10-12,10,G011,Antofagasta,jubilado,credito_consumo,38,300455,1708844,573,vigente,693,noche,whatsapp,5,1,contactado_rechaza,1,1119939,0,,34
76,2024-05-30,5,G011,Los_Lagos,dependiente,tarjeta_credito,44,981838,7065317,14,vigente,747,tarde,visita_terreno,8,1,convenio_acordado,1,6995482,0,,34
77,2024-03-04,3,G002,Tarapaca,independiente,automotriz,50,2555330,6935576,366,prejuridico,685,noche,telefono,7,1,contactado_rechaza,0,0,0,deuda_mayor,31
78,2024-05-22,5,G013,Valparaiso,microempresario,tarjeta_credito,50,2386209,5701710,2,vigente,332,manana,telefono,3,1,promesa_pago,1,2396614,1,,35
79,2024-07-19,7,G016,Valparaiso,dependiente,credito_consumo,55,1471759,589524,108,castigado,485,manana,visita_terreno,10,1,contactado_rechaza,1,99650,0,,32
80,2024-06-03,6,G020,Tarapaca,independiente,hipotecario,69,1766328,11644677,50,prejuridico,417,manana,telefono,9,1,promesa_pago,1,1590083,1,,26
81,2024-01-14,1,G007,Antofagasta,jubilado,credito_consumo,33,572258,927607,5,prejuridico,796,manana,carta_notarial,5,0,no_contesta,0,0,0,no_reconoce,6
82,2024-11-03,11,G017,Maule,microempresario,linea_credito,57,2044512,1679824,55,vigente,397,noche,visita_terreno,10,0,no_contesta,0,0,0,,4
83,2024-04-07,4,G004,OHiggins,microempresario,automotriz,60,5718329,20033234,310,vigente,486,manana,telefono,11,1,convenio_acordado,0,0,0,no_reconoce,29
84,2024-02-19,2,G017,Biobio,microempresario,tarjeta_credito,35,1061903,3679065,4,prejuridico,543,tarde,email,7,0,buzon_voz,0,0,0,,5
85,2024-04-15,4,G007,Araucania,independiente,credito_consumo,64,1400477,4694984,121,vigente,775,manana,visita_terreno,9,0,no_contesta,0,0,0,sin_trabajo,7
86,2024-02-07,2,G008,Los_Lagos,jubilado,credito_consumo,44,656904,810268,133,juridico,726,tarde,email,12,1,contactado_acepta,0,0,0,sin_trabajo,11
87,2024-10-19,10,G008,Los_Lagos,dependiente,hipotecario,68,990907,50758106,79,vigente,312,manana,carta_notarial,4,0,buzon_voz,0,0,0,otro,8
88,2024-08-07,8,G024,Maule,independiente,hipotecario,41,3231575,17911674,235,vigente,623,noche,carta_notarial,10,0,no_contesta,0,0,0,no_reconoce,1
89,2024-07-05,7,G007,Maule,microempresario,automotriz,35,2822868,14121487,683,vigente,793,tarde,whatsapp,7,0,numero_equivocado,0,0,0,deuda_mayor,6
90,2024-08-20,8,G012,Coquimbo,microempresario,tarjeta_credito,33,902714,361607,73,vigente,368,tarde,telefono,5,0,numero_equivocado,0,0,0,enfermedad,5
91,2024-01-27,1,G006,RM,dependiente,tarjeta_credito,50,1656330,3395765,18,vigente,555,tarde,visita_terreno,2,1,promesa_pago,0,0,0,otro,8
92,2024-02-12,2,G004,RM,dependiente,linea_credito,42,1721272,806855,29,prejuridico,761,noche,carta_notarial,5,1,promesa_pago,1,700470,1,,12
93,2024-06-26,6,G003,Los_Lagos,jubilado,tarjeta_credito,66,226867,859845,210,prejuridico,397,manana,visita_terreno,5,1,convenio_acordado,0,0,0,,17
94,2024-06-25,6,G017,Valparaiso,independiente,credito_consumo,31,2589530,2560241,45,castigado,327,noche,visita_terreno,11,0,no_contesta,0,0,0,,4
95,2024-11-26,11,G012,RM,microempresario,credito_consumo,49,2180882,111311,102,vigente,305,tarde,carta_notarial,5,0,buzon_voz,0,0,0,deuda_mayor,2
96,2024-08-13,8,G018,Araucania,independiente,automotriz,47,3922082,12681002,254,castigado,561,tarde,visita_terreno,6,1,promesa_pago,1,6861597,1,,28
97,2024-10-07,10,G013,OHiggins,dependiente,automotriz,70,929953,10740287,66,juridico,562,tarde,email,7,0,no_contesta,0,0,0,,7
98,2024-10-16,10,G014,Antofagasta,microempresario,tarjeta_credito,61,4975019,3861087,38,castigado,715,noche,telefono,10,0,no_contesta,0,0,0,negociacion,2
99,2024-10-19,10,G023,Tarapaca,independiente,linea_credito,39,593079,2420570,25,vigente,721,noche,whatsapp,3,0,numero_equivocado,0,0,0,no_reconoce,8
100,2024-09-12,9,G008,RM,independiente,credito_consumo,61,822435,3526872,26,vigente,577,tarde,email,1,1,promesa_pago,1,911756,1,,10
101,2024-08-10,8,G005,Antofagasta,independiente,credito_consumo,57,1063303,3322698,715,prejuridico,833,tarde,telefono,8,0,no_contesta,0,0,0,enfermedad,7
102,2024-01-19,1,G012,Biobio,jubilado,credito_consumo,49,389801,1304607,15,juridico,785,noche,whatsapp,5,1,convenio_acordado,1,697282,0,,23
103,2024-09-24,9,G015,RM,jubilado,automotriz,37,298551,6530078,89,juridico,564,manana,whatsapp,7,1,promesa_pago,0,0,0,deuda_mayor,10
104,2024-11-18,11,G021,Coquimbo,independiente,hipotecario,30,1408715,51861732,61,juridico,483,manana,visita_terreno,3,0,buzon_voz,0,0,0,otro,8
105,2024-08-19,8,G014,RM,dependiente,tarjeta_credito,65,1029967,4204789,158,prejuridico,805,manana,carta_notarial,1,0,no_contesta,0,0,0,sin_trabajo,2
106,2024-08-14,8,G018,Coquimbo,independiente,linea_credito,48,3948386,1972617,21,juridico,579,noche,carta_notarial,5,0,no_contesta,0,0,0,otro,7
107,2024-09-29,9,G021,RM,jubilado,credito_consumo,24,243513,7631416,285,vigente,437,manana,visita_terreno,10,0,buzon_voz,0,0,0,deuda_mayor,7
108,2024-08-18,8,G003,Antofagasta,dependiente,hipotecario,58,1779899,54487288,16,castigado,686,manana,email,10,0,no_contesta,0,0,0,enfermedad,4
109,2024-12-22,12,G002,Los_Lagos,dependiente,tarjeta_credito,47,1646410,682515,356,vigente,381,manana,visita_terreno,11,0,no_contesta,0,0,0,otro,2
110,2024-11-25,11,G023,Maule,dependiente,automotriz,66,2623683,23284724,27,prejuridico,477,tarde,email,5,1,promesa_pago,1,11450386,1,,6
111,2024-08-12,8,G021,Maule,independiente,credito_consumo,48,3672656,415959,238,juridico,580,manana,telefono,8,1,contactado_acepta,1,258378,0,,4
112,2024-07-31,7,G008,OHiggins,dependiente,hipotecario,26,672188,85012471,175,prejuridico,396,manana,email,1,0,buzon_voz,0,0,0,negociacion,8
113,2024-11-08,11,G022,Tarapaca,independiente,tarjeta_credito,42,3699033,7725608,74,prejuridico,604,noche,telefono,1,0,buzon_voz,0,0,0,no_reconoce,7
114,2024-05-25,5,G022,Tarapaca,independiente,linea_credito,62,1823298,990880,38,vigente,325,noche,visita_terreno,1,1,promesa_pago,0,0,0,enfermedad,7
115,2024-09-15,9,G015,Coquimbo,jubilado,tarjeta_credito,31,200752,5408005,23,vigente,609,tarde,whatsapp,4,1,promesa_pago,1,5302440,1,,29
116,2024-05-07,5,G013,Los_Lagos,jubilado,automotriz,66,347090,5318850,15,vigente,519,tarde,visita_terreno,8,0,no_contesta,0,0,0,enfermedad,3
117,2024-02-21,2,G006,RM,microempresario,tarjeta_credito,52,5114402,87755,2,castigado,688,noche,telefono,11,0,no_contesta,0,0,0,otro,6
118,2024-02-04,2,G012,OHiggins,dependiente,automotriz,54,1650398,6108780,177,castigado,831,noche,telefono,11,0,buzon_voz,0,0,0,no_reconoce,5
119,2024-06-08,6,G024,RM,microempresario,tarjeta_credito,23,5017494,1144029,29,juridico,307,manana,carta_notarial,7,1,convenio_acordado,1,123634,0,,26
120,2024-04-13,4,G005,Antofagasta,microempresario,credito_consumo,48,700645,7752958,241,prejuridico,320,tarde,email,2,0,buzon_voz,0,0,0,enfermedad,5
121,2024-07-22,7,G011,OHiggins,independiente,automotriz,38,2621458,8729363,157,castigado,750,noche,carta_notarial,10,0,no_contesta,0,0,0,deuda_mayor,8
122,2024-09-30,9,G004,Biobio,dependiente,credito_consumo,24,2637448,445384,62,juridico,533,noche,carta_notarial,5,0,no_contesta,0,0,0,negociacion,7
123,2024-11-01,11,G013,Valparaiso,jubilado,hipotecario,62,504467,41195461,16,castigado,641,tarde,visita_terreno,7,0,no_contesta,0,0,0,sin_trabajo,7
124,2024-08-23,8,G001,RM,microempresario,automotriz,42,3275162,12796926,24,vigente,554,tarde,telefono,2,1,contactado_rechaza,0,0,0,negociacion,27
125,2024-12-06,12,G006,Tarapaca,jubilado,linea_credito,45,312854,2152713,110,vigente,820,tarde,whatsapp,10,1,convenio_acordado,0,0,0,enfermedad,22
126,2024-12-15,12,G023,Maule,jubilado,credito_consumo,49,783520,7355159,91,juridico,748,noche,whatsapp,12,1,contactado_acepta,0,0,0,sin_trabajo,7
127,2024-10-07,10,G003,Maule,dependiente,tarjeta_credito,62,2195144,5101987,125,vigente,587,tarde,carta_notarial,3,0,no_contesta,0,0,0,negociacion,3
128,2024-10-13,10,G022,Los_Lagos,microempresario,tarjeta_credito,61,1576410,4412267,17,castigado,772,tarde,carta_notarial,1,1,contactado_acepta,0,0,0,sin_trabajo,27
129,2024-06-09,6,G007,Valparaiso,independiente,tarjeta_credito,50,2747973,4718265,720,vigente,422,noche,email,3,1,contactado_acepta,0,0,0,enfermedad,12
130,2024-12-24,12,G009,Coquimbo,dependiente,tarjeta_credito,26,2547360,4607477,25,vigente,396,tarde,carta_notarial,8,1,promesa_pago,0,0,0,deuda_mayor,31
131,2024-04-11,4,G018,RM,jubilado,credito_consumo,23,477153,4358754,15,prejuridico,693,tarde,telefono,1,0,buzon_voz,0,0,0,enfermedad,1
132,2024-10-31,10,G017,Tarapaca,jubilado,tarjeta_credito,68,527064,800062,10,juridico,476,noche,carta_notarial,6,0,no_contesta,0,0,0,enfermedad,4
133,2024-03-21,3,G025,Tarapaca,jubilado,linea_credito,59,358255,1678676,67,prejuridico,364,noche,whatsapp,11,1,promesa_pago,1,799624,1,,35
134,2024-11-05,11,G014,OHiggins,dependiente,credito_consumo,42,1122921,2380419,2,castigado,749,noche,email,11,1,convenio_acordado,1,1189995,0,,8
135,2024-05-13,5,G008,OHiggins,dependiente,automotriz,24,2239564,7751821,10,prejuridico,813,manana,whatsapp,1,1,contactado_rechaza,1,6569517,0,,29
136,2024-04-21,4,G012,Coquimbo,jubilado,linea_credito,52,409592,2734495,13,juridico,566,tarde,visita_terreno,1,0,no_contesta,0,0,0,negociacion,1
137,2024-01-16,1,G011,Maule,microempresario,credito_consumo,24,914782,1759637,278,castigado,563,tarde,visita_terreno,12,0,buzon_voz,0,0,0,,8
138,2024-08-20,8,G007,RM,independiente,linea_credito,55,1688150,312382,26,prejuridico,564,tarde,visita_terreno,4,0,buzon_voz,0,0,0,sin_trabajo,3
139,2024-11-23,11,G004,Coquimbo,jubilado,linea_credito,68,446914,2202826,174,vigente,552,noche,telefono,2,1,contactado_acepta,1,368881,0,,32
140,2024-06-26,6,G018,Maule,dependiente,credito_consumo,28,2794611,2389144,118,vigente,308,noche,carta_notarial,10,1,contactado_acepta,0,0,0,otro,28
141,2024-10-14,10,G016,Tarapaca,jubilado,hipotecario,71,802539,22946856,175,castigado,408,tarde,email,2,0,buzon_voz,0,0,0,deuda_mayor,6
142,2024-09-09,9,G012,Los_Lagos,dependiente,tarjeta_credito,31,2553268,5702961,146,castigado,363,noche,visita_terreno,10,0,numero_equivocado,0,0,0,negociacion,3
143,2024-07-23,7,G003,Tarapaca,independiente,tarjeta_credito,60,886355,4220361,2,juridico,707,noche,carta_notarial,4,0,no_contesta,0,0,0,deuda_mayor,6
144,2024-08-12,8,G006,Coquimbo,independiente,tarjeta_credito,72,3311250,1488573,526,juridico,767,tarde,email,10,0,numero_equivocado,0,0,0,deuda_mayor,7
145,2024-10-16,10,G010,OHiggins,jubilado,credito_consumo,27,808148,1657943,140,juridico,756,noche,email,5,1,contactado_acepta,1,560252,0,,26
146,2024-10-15,10,G021,Coquimbo,microempresario,hipotecario,36,2761158,77729610,663,vigente,733,tarde,whatsapp,6,1,contactado_rechaza,1,10178077,0,,25
147,2024-03-13,3,G017,Antofagasta,microempresario,hipotecario,35,4156698,48007103,6,juridico,652,tarde,telefono,7,1,promesa_pago,1,46877233,1,,27
148,2024-11-08,11,G015,Maule,independiente,tarjeta_credito,65,2303169,6207604,1,prejuridico,828,manana,email,9,1,convenio_acordado,0,0,0,otro,31
149,2024-04-26,4,G006,Maule,microempresario,credito_consumo,29,4129414,5857344,175,juridico,314,noche,visita_terreno,8,1,contactado_acepta,1,1814715,0,,30
150,2024-08-02,8,G006,Biobio,dependiente,credito_consumo,52,1661597,7617840,116,vigente,482,tarde,email,5,0,buzon_voz,0,0,0,enfermedad,6
151,2024-07-05,7,G007,Biobio,jubilado,linea_credito,39,233999,417036,637,castigado,529,manana,telefono,12,1,contactado_rechaza,0,0,0,enfermedad,26
152,2024-06-08,6,G002,Antofagasta,jubilado,automotriz,38,358246,15770161,27,prejuridico,640,tarde,email,9,0,numero_equivocado,0,0,0,negociacion,6
153,2024-01-31,1,G016,Antofagasta,jubilado,hipotecario,36,803744,21573059,326,prejuridico,453,tarde,visita_terreno,8,0,no_contesta,0,0,0,negociacion,3
154,2024-06-19,6,G022,RM,dependiente,automotriz,36,2631535,11907531,167,juridico,477,noche,visita_terreno,11,1,convenio_acordado,1,2840797,0,,13
155,2024-01-14,1,G023,Biobio,jubilado,tarjeta_credito,38,889246,7443033,70,juridico,832,noche,email,5,0,numero_equivocado,0,0,0,,1
156,2024-04-08,4,G023,Valparaiso,dependiente,hipotecario,64,2125709,11486649,29,vigente,784,noche,carta_notarial,10,1,convenio_acordado,1,6306999,0,,8
157,2024-12-08,12,G002,Valparaiso,dependiente,linea_credito,44,2281568,125132,1,vigente,785,manana,whatsapp,2,1,promesa_pago,1,59975,1,,26
158,2024-12-23,12,G001,Biobio,jubilado,tarjeta_credito,26,559662,2550828,541,castigado,506,tarde,telefono,12,1,promesa_pago,0,0,0,negociacion,17
159,2024-10-03,10,G023,Biobio,microempresario,automotriz,39,2216448,4487950,258,castigado,361,tarde,visita_terreno,11,1,contactado_rechaza,0,0,0,enfermedad,9
160,2024-12-09,12,G010,Maule,dependiente,hipotecario,56,1467890,73634852,332,juridico,517,tarde,visita_terreno,8,0,buzon_voz,0,0,0,otro,3
161,2024-05-28,5,G015,Coquimbo,jubilado,credito_consumo,66,308445,5391065,216,vigente,369,tarde,carta_notarial,4,0,no_contesta,0,0,0,,3
162,2024-07-21,7,G006,OHiggins,microempresario,hipotecario,68,3438190,85748755,49,juridico,318,tarde,email,3,1,convenio_acordado,1,37067813,0,,18
163,2024-11-21,11,G013,RM,independiente,tarjeta_credito,39,2137581,1609881,599,vigente,469,noche,whatsapp,2,1,contactado_acepta,1,458293,0,,35
164,2024-12-04,12,G018,Biobio,microempresario,linea_credito,30,3578414,1091937,75,vigente,544,tarde,email,4,0,numero_equivocado,0,0,0,no_reconoce,5
165,2024-11-29,11,G023,Maule,jubilado,tarjeta_credito,46,701700,3378965,605,prejuridico,536,manana,carta_notarial,8,0,no_contesta,0,0,0,negociacion,1
166,2024-09-29,9,G015,Araucania,independiente,hipotecario,29,1461852,23453432,16,prejuridico,412,noche,visita_terreno,3,1,convenio_acordado,1,15176445,0,,34
167,2024-01-05,1,G010,Maule,jubilado,hipotecario,62,559342,41716837,69,vigente,426,noche,whatsapp,6,1,convenio_acordado,1,5380250,0,,15
168,2024-08-14,8,G011,RM,microempresario,automotriz,60,3625867,8253963,78,prejuridico,369,manana,visita_terreno,12,0,numero_equivocado,0,0,0,no_reconoce,6
